pt_graph abundance
11782 0.00178571
11782 0.00014043
11782 0
11783 0.00137931
11783 0.00137931
11783 0.00028584
11783 0
11784 0.00137931
11784 0.00137931
11784 0.00028584
11784 0
11785 0.00137931
11785 0.00137931
11785 0.00028584
11785 0
11786 0.00137931
11786 0.00137931
11786 0.00028584
11786 0
11787 0.00046083
11787 0.00046083
11787 0.00028584
11787 0
11788 0.00046083
11788 0.00046083
11788 0.00075139
11788 0
11789 0.00046083
11789 0.00046083
11789 0.00075139
11789 0
11790 0
11790 0
11790 0.00075139
11790 0
11791 0
11791 0
11791 0.00075139
11791 0.00087719
11792 0
11792 0
11792 0.00075139
11792 0
11793 0
11793 0
11793 0.00075139
11793 0
11794 0
11794 0
11794 0.00075139
11794 0
11795 0
11795 0
11795 0.00075139
11795 0
11796 0
11796 0
11796 0.00075139
11796 0
11797 0
11797 0
11797 0.00028584
11797 0
11798 0
11798 0
11798 0.00028584
11798 0
11799 0
11799 0
11799 0.00028584
11799 0
11800 0
11800 0
11800 0.00028584
11800 0
11801 0
11801 0
11801 0.00028584
11801 0
11802 0
11802 0
11802 0.00028584
11802 0
11803 0
11803 0
11803 0.00014043
11803 0
11804 0
11804 0
11804 0.00014043
11804 0
11805 0
11805 0
11805 0.00014043
11805 0
11806 0
11806 0
11806 0.00014043
11806 0
11807 0
11807 0
11807 0.00014043
11807 0
11808 0
11808 0
11808 0.00001311
11808 0
11809 0
11809 0
11809 0.00001311
11809 0
11810 0
11810 0
11810 0.00001311
11810 0
11920 0.00137931
11920 0.00137931
11920 0
11920 0
11921 0.00137931
11921 0.00137931
11921 0.00001311
11921 0
11922 0.00178571
11922 0.00178571
11922 0.00001311
11922 0
11923 0.00178571
11923 0.00178571
11923 0.00001311
11923 0
11924 0.00178571
11924 0.00178571
11924 0.00001311
11924 0
11925 0.00178571
11925 0.00178571
11925 0.00014043
11925 0
11926 0.00178571
11926 0.00178571
11926 0.00014043
11926 0
11927 0.00178571
11927 0.00178571
11927 0.00014043
11927 0
11928 0.00178571
11928 0.00178571
11928 0.00028584
11928 0
11929 0.00137931
11929 0.00137931
11929 0.00028584
11929 0
11930 0.00137931
11930 0.00137931
11930 0.00028584
11930 0
11931 0.00137931
11931 0.00137931
11931 0.00028584
11931 0
11932 0.00137931
11932 0.00137931
11932 0.00028584
11932 0
11933 0.00046083
11933 0.00046083
11933 0.00075139
11933 0
11934 0.00046083
11934 0.00046083
