port_name;lon;lat;idx_port
SEFSA;12.16666667;57.31666667;676
SEGNA;17.426767;62.02975;677
SEGRD;11.418333;58.216667;678
SEGRE;11.256667;58.683333;679
SEGRM;11.22;58.697;680
SEHAA;23.906667;65.771667;681
SEHAD;12.866667;56.666667;682
SEHAK;18.589167;60.061167;683
SEHAN;18.461667;60.173333;684
SEHLD;20.35985;63.694433;685
SEHND;17.953883;62.640367;686
SEHNF;19.9;63.63333333;687
SEHNO;11.63333333;57.68333333;688
SEHOG;12.55;56.198333;689
SEHRD;11.84;57.817333;690
SEHUN;11.296667;58.441667;691
SEHUV;17.121667;61.725;692
SEKAA;15.591667;56.168333;693
SEKAN;14.865;56.168333;694
SEKAX;23.140783;65.852683;695
SEKGM;12.91666667;55.53333333;696
SEKKS;11.51666667;58.01666667;697
SEKLD;11.53333333;57.95;698
SEKLR;16.373333;56.66;699
SEKLV;11.93333333;57.53333333;700
SEKPS;19.051667;59.715;701
SEKUA;12.075;57.486667;702
SELAA;12.849;55.8615;703
SELIM;12.923667;55.5865;704
SELJO;18.61666667;59.51666667;705
SELJU;17.145;61.206667;706
SELOF;16.68333333;57.9;707
SELOM;13.066667;55.675;708
SELYS;11.443333;58.275;709
SEMDM;11.678667;58.43835;710
SEMEL;12.4645;58.701917;711
SEMLE;12.5;56.28333333;712
SEMLO;11.471667;58.073333;713
SEMMA;13;55.6;714
SEMOJ;18.83333333;59.4;715
SEMON;16.453333;57.041667;716
